"","state_data","size_data","rate_data","year"
"264","AZ",7912,15.7,2015
"265","AR",5234,16.1,2015
"266","CA",12568,12.9,2015
"267","CO",13504,13.9,2015
"268","CT",11848,16.4,2015
"269","DE",4054,14.4,2015
"270","DC",3978,17.1,2015
"271","FL",9712,12.5,2015
"272","GA",4669,14.3,2015
"273","HI",7143,16.8,2015
"274","ID",5788,13.7,2015
"275","IL",5280,13.6,2015
"276","IN",6049,14.8,2015
"277","IA",6204,12.2,2015
"278","KS",23158,13.5,2015
"279","KY",8785,17.7,2015
"280","LA",4702,14.6,2015
"281","ME",9045,15.7,2015
"282","MD",12552,13.9,2015
"283","MA",9250,15.5,2015
"284","MI",8892,15.7,2015
"285","MN",16710,11.1,2015
"286","MS",6016,12.2,2015
"287","MO",7275,14.5,2015
"288","MT",6021,12.7,2015
"289","NE",17492,12.1,2015
"290","NV",2915,13.6,2015
"291","NH",6999,15.2,2015
"292","NJ",11432,11.6,2015
"293","NM",6723,15.1,2015
"294","NY",12319,14.7,2015
"295","NC",6684,13.4,2015
"296","ND",4956,12.8,2015
"297","OH",11873,14.1,2015
"298","OK",6917,14.3,2015
"299","OR",5339,17.9,2015
"300","PA",5716,15,2015
"301","RI",6178,16,2015
"302","SC",11573,13,2015
"303","SD",7197,12.5,2015
"304","TN",5959,14.5,2015
"305","TX",14655,12,2015
"306","UT",11368,14,2015
"307","VT",6471,16.2,2015
"308","VA",8617,12.3,2015
"309","WA",16026,14.8,2015
"310","WV",5935,15.1,2015
"311","WI",6175,13,2015
"312","WY",5465,13.5,2015
"313","U.S. Total**",443692,13.5,2010
"314","AL",7648,11.8,2010
"315","AK",1955,14.4,2010
"316","AZ",5741,15.6,2010
"317","AR",4013,13.6,2010
"318","CA",17763,12.6,2010
"319","CO",11629,14.7,2010
"320","CT",6760,15.3,2010
"321","DE",4238,15.1,2010
"322","DC",3964,16,2010
"323","FL",35003,13.8,2010
"324","GA",5779,11.5,2010
"325","HI",6522,17.6,2010
"326","ID",6991,13.6,2010
"327","IL",5197,13.6,2010
"328","IN",10195,14.2,2010
"329","IA",6086,11.6,2010
"330","KS",8538,13.2,2010
"331","KY",8046,14.9,2010
"332","LA",7013,11.6,2010
"333","ME",8104,15.7,2010
"334","MD",9161,12.4,2010
"335","MA",16271,15.3,2010
"336","MI",8846,15.8,2010
"337","MN",8943,10.9,2010
"338","MS",8068,11.6,2010
"339","MO",5417,14.2,2010
"340","MT",7277,12.9,2010
"341","NE",16343,12.2,2010
"342","NV",3904,14.5,2010
"343","NH",6018,15,2010
"344","NJ",12405,13.3,2010
"345","NM",6987,14.6,2010
"346","NY",8919,14.7,2010
"347","NC",12107,12.6,2010
"348","ND",4743,10.6,2010
"349","OH",9827,13.8,2010
"350","OK",7719,14.2,2010
"351","OR",5045,16.2,2010
"352","PA",11198,13.8,2010
"353","RI",6585,16.7,2010
"354","SC",9401,12.9,2010
"355","SD",6702,11.6,2010
"356","TN",5757,9.3,2010
"357","TX",18038,12.8,2010
"358","UT",10134,14.3,2010
"359","VT",6782,17.2,2010
"360","VA",5378,12.9,2010
"361","WA",19546,15.8,2010
"362","WV",4394,10.7,2010
"363","WI",4772,12.8,2010
"364","WY",5820,14.7,2010
"729","U.S. Total**",405674,13.3,2008
"730","AL",6473,12.3,2008
"731","AK",2646,16.1,2008
"732","AZ",6148,14.9,2008
"733","AR",5670,12.8,2008
"734","CA",11594,13.8,2008
"735","CO",11735,13,2008
"736","CT",6133,13.4,2008
"737","DE",4014,13.6,2008
"738","DC",4235,16.2,2008
"739","FL",10848,10.2,2008
"740","GA",5702,12.7,2008
"741","HI",6421,16.1,2008
"742","ID",5094,12.7,2008
"743","IL",5156,13.2,2008
"744","IN",4885,13.7,2008
"745","IA",6001,10.7,2008
"746","KS",8603,13.2,2008
"747","KY",8067,14.7,2008
"748","LA",6173,11.7,2008
"749","ME",6770,15.7,2008
"750","MD",9455,14.3,2008
"751","MA",20520,14.8,2008
"752","MI",9433,15.4,2008
"753","MN",4285,12.4,2008
"754","MS",7929,11.2,2008
"755","MO",5149,13.6,2008
"756","MT",6832,14.6,2008
"757","NE",16194,10.4,2008
"758","NV",4760,13.6,2008
"759","NH",6868,15.3,2008
"760","NJ",11712,12.8,2008
"761","NM",6216,12.6,2008
"762","NY",7892,14.1,2008
"763","NC",15799,11.7,2008
"764","ND",5028,11.6,2008
"765","OH",12924,14.2,2008
"766","OK",7784,13.9,2008
"767","OR",4785,14.9,2008
"768","PA",13132,13.3,2008
"769","RI",4774,15.4,2008
"770","SC",10167,13.7,2008
"771","SD",6957,11.1,2008
"772","TN",5008,12.6,2008
"773","TX",10692,12.2,2008
"774","UT",5310,13.1,2008
"775","VT",6722,15.4,2008
"776","VA",5292,14.1,2008
"777","WA",22480,14.9,2008
"778","WV",4160,13.7,2008
"779","WI",7061,14.2,2008
"780","WY",7986,14,2008
"781","U.S. Total**",423457,13.4,2009
"782","AL",6764,11.9,2009
"783","AK",2425,14.3,2009
"784","AZ",5464,15.5,2009
"785","AR",3995,11.5,2009
